 Total battles: 47
 Avg. weight/team: 0.004
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Gligar             | 100.00000% | 47     | 50.000% | 33     | 46.809% | 
 | 2    | Machop             | 93.06945% | 23     | 24.468% | 20     | 28.369% | 
 | 3    | Munchlax           | 93.06945% | 36     | 38.298% | 25     | 35.461% | 
 | 4    | Drifloon           | 68.23276% | 20     | 21.277% | 17     | 24.113% | 
 | 5    | Porygon            | 61.30221% | 11     | 11.702% | 8      | 11.348% | 
 | 6    | Snover             | 61.30221% | 14     | 14.894% | 13     | 18.440% | 
 | 7    | Duskull            | 31.76724% | 17     | 18.085% | 14     | 19.858% | 
 | 8    | Bronzor            | 22.54840% | 19     | 20.213% | 14     | 19.858% | 
 | 9    | Slowpoke           | 22.54840% | 11     | 11.702% | 11     | 15.603% | 
 | 10   | Chinchou           |  9.21884% | 12     | 12.766% | 9      | 12.766% | 
 | 11   | Houndour           |  9.21884% | 16     | 17.021% | 12     | 17.021% | 
 | 12   | Diglett            |  6.93055% | 13     | 13.830% | 9      | 12.766% | 
 | 13   | Doduo              |  6.93055% | 5      |  5.319% | 3      |  4.255% | 
 | 14   | Magnemite          |  6.93055% | 8      |  8.511% | 6      |  8.511% | 
 | 15   | Taillow            |  6.93055% | 5      |  5.319% | 1      |  1.418% | 
 | 16   | Abra               |  0.00000% | 12     | 12.766% | 12     | 17.021% | 
 | 17   | Aipom              |  0.00000% | 6      |  6.383% | 6      |  8.511% | 
 | 18   | Anorith            |  0.00000% | 5      |  5.319% | 5      |  7.092% | 
 | 19   | Aron               |  0.00000% | 3      |  3.191% | 3      |  4.255% | 
 | 20   | Azurill            |  0.00000% | 5      |  5.319% | 5      |  7.092% | 
 | 21   | Bagon              |  0.00000% | 6      |  6.383% | 3      |  4.255% | 
 | 22   | Baltoy             |  0.00000% | 1      |  1.064% | 1      |  1.418% | 
 | 23   | Barboach           |  0.00000% | 2      |  2.128% | 2      |  2.837% | 
 | 24   | Beldum             |  0.00000% | 2      |  2.128% | 2      |  2.837% | 
 | 25   | Bellsprout         |  0.00000% | 3      |  3.191% | 1      |  1.418% | 
 | 26   | Bidoof             |  0.00000% | 4      |  4.255% | 3      |  4.255% | 
 | 27   | Buizel             |  0.00000% | 4      |  4.255% | 4      |  5.674% | 
 | 28   | Bulbasaur          |  0.00000% | 3      |  3.191% | 3      |  4.255% | 
 | 29   | Buneary            |  0.00000% | 1      |  1.064% | 1      |  1.418% | 
 | 30   | Cacnea             |  0.00000% | 2      |  2.128% | 1      |  1.418% | 
 | 31   | Carvanha           |  0.00000% | 2      |  2.128% | 2      |  2.837% | 
 | 32   | Charmander         |  0.00000% | 2      |  2.128% | 2      |  2.837% | 
 | 33   | Chimchar           |  0.00000% | 6      |  6.383% | 4      |  5.674% | 
 | 34   | Chingling          |  0.00000% | 5      |  5.319% | 4      |  5.674% | 
 | 35   | Clamperl           |  0.00000% | 3      |  3.191% | 3      |  4.255% | 
 | 36   | Corphish           |  0.00000% | 1      |  1.064% | 1      |  1.418% | 
 | 37   | Cranidos           |  0.00000% | 8      |  8.511% | 7      |  9.929% | 
 | 38   | Croagunk           |  0.00000% | 15     | 15.957% | 12     | 17.021% | 
 | 39   | Cubone             |  0.00000% | 4      |  4.255% | 1      |  1.418% | 
 | 40   | Cyndaquil          |  0.00000% | 1      |  1.064% | 1      |  1.418% | 
 | 41   | Dratini            |  0.00000% | 15     | 15.957% | 8      | 11.348% | 
 | 42   | Drowzee            |  0.00000% | 1      |  1.064% | 1      |  1.418% | 
 | 43   | Eevee              |  0.00000% | 6      |  6.383% | 6      |  8.511% | 
 | 44   | Electrike          |  0.00000% | 1      |  1.064% | 0      |  0.000% | 
 | 45   | Elekid             |  0.00000% | 7      |  7.447% | 6      |  8.511% | 
 | 46   | Exeggcute          |  0.00000% | 1      |  1.064% | 1      |  1.418% | 
 | 47   | Finneon            |  0.00000% | 1      |  1.064% | 1      |  1.418% | 
 | 48   | Gastly             |  0.00000% | 20     | 21.277% | 14     | 19.858% | 
 | 49   | Gible              |  0.00000% | 4      |  4.255% | 2      |  2.837% | 
 | 50   | Glameow            |  0.00000% | 5      |  5.319% | 5      |  7.092% | 
 | 51   | Grimer             |  0.00000% | 1      |  1.064% | 1      |  1.418% | 
 | 52   | Growlithe          |  0.00000% | 1      |  1.064% | 1      |  1.418% | 
 | 53   | Hippopotas         |  0.00000% | 4      |  4.255% | 3      |  4.255% | 
 | 54   | Igglybuff          |  0.00000% | 4      |  4.255% | 3      |  4.255% | 
 | 55   | Kabuto             |  0.00000% | 1      |  1.064% | 1      |  1.418% | 
 | 56   | Lickitung          |  0.00000% | 1      |  1.064% | 1      |  1.418% | 
 | 57   | Lileep             |  0.00000% | 1      |  1.064% | 1      |  1.418% | 
 | 58   | Magby              |  0.00000% | 5      |  5.319% | 4      |  5.674% | 
 | 59   | Magikarp           |  0.00000% | 1      |  1.064% | 1      |  1.418% | 
 | 60   | Mankey             |  0.00000% | 4      |  4.255% | 3      |  4.255% | 
 | 61   | Mantyke            |  0.00000% | 3      |  3.191% | 3      |  4.255% | 
 | 62   | Mareep             |  0.00000% | 4      |  4.255% | 4      |  5.674% | 
 | 63   | Meowth             |  0.00000% | 5      |  5.319% | 5      |  7.092% | 
 | 64   | Mudkip             |  0.00000% | 1      |  1.064% | 1      |  1.418% | 
 | 65   | Natu               |  0.00000% | 2      |  2.128% | 2      |  2.837% | 
 | 66   | Omanyte            |  0.00000% | 3      |  3.191% | 3      |  4.255% | 
 | 67   | Onix               |  0.00000% | 11     | 11.702% | 8      | 11.348% | 
 | 68   | Phanpy             |  0.00000% | 1      |  1.064% | 1      |  1.418% | 
 | 69   | Pineco             |  0.00000% | 2      |  2.128% | 2      |  2.837% | 
 | 70   | Piplup             |  0.00000% | 3      |  3.191% | 2      |  2.837% | 
 | 71   | Ponyta             |  0.00000% | 2      |  2.128% | 2      |  2.837% | 
 | 72   | Rattata            |  0.00000% | 1      |  1.064% | 1      |  1.418% | 
 | 73   | Rhyhorn            |  0.00000% | 1      |  1.064% | 1      |  1.418% | 
 | 74   | Riolu              |  0.00000% | 1      |  1.064% | 0      |  0.000% | 
 | 75   | Shellos            |  0.00000% | 4      |  4.255% | 4      |  5.674% | 
 | 76   | Shieldon           |  0.00000% | 1      |  1.064% | 0      |  0.000% | 
 | 77   | Shinx              |  0.00000% | 2      |  2.128% | 2      |  2.837% | 
 | 78   | Skorupi            |  0.00000% | 1      |  1.064% | 1      |  1.418% | 
 | 79   | Snorunt            |  0.00000% | 1      |  1.064% | 0      |  0.000% | 
 | 80   | Spinarak           |  0.00000% | 1      |  1.064% | 1      |  1.418% | 
 | 81   | Squirtle           |  0.00000% | 2      |  2.128% | 1      |  1.418% | 
 | 82   | Starly             |  0.00000% | 1      |  1.064% | 1      |  1.418% | 
 | 83   | Staryu             |  0.00000% | 13     | 13.830% | 7      |  9.929% | 
 | 84   | Stunky             |  0.00000% | 5      |  5.319% | 4      |  5.674% | 
 | 85   | Surskit            |  0.00000% | 1      |  1.064% | 1      |  1.418% | 
 | 86   | Teddiursa          |  0.00000% | 5      |  5.319% | 3      |  4.255% | 
 | 87   | Totodile           |  0.00000% | 1      |  1.064% | 1      |  1.418% | 
 | 88   | Trapinch           |  0.00000% | 1      |  1.064% | 1      |  1.418% | 
 | 89   | Treecko            |  0.00000% | 2      |  2.128% | 1      |  1.418% | 
 | 90   | Turtwig            |  0.00000% | 1      |  1.064% | 1      |  1.418% | 
 | 91   | Voltorb            |  0.00000% | 3      |  3.191% | 2      |  2.837% | 
 | 92   | Wailmer            |  0.00000% | 4      |  4.255% | 4      |  5.674% | 
 | 93   | Wooper             |  0.00000% | 1      |  1.064% | 1      |  1.418% | 
 | 94   | Wynaut             |  0.00000% | 3      |  3.191% | 1      |  1.418% | 
 | 95   | Zubat              |  0.00000% | 4      |  4.255% | 4      |  5.674% | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
